Run ID,Display Name,Persona ID,Turn Number,Question,User Message,Assistant Response,Predicted Outcome,Session Eligibility Outcome,Checkpoint Correct
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F028,1,Opening,I need help from oakland california to portland oregon for insurance covers around 13 days,"Thanks for reaching out. To see if Angel Flight West can help, can you tell me the main reason for your trip from Oakland to Portland?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F028,2,Question 1,Orthopedic consult,"Thanks. When is your appointment in Portland, or when would you need to travel?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F028,3,Question 2,Not dv,"Understood, thank you for clarifying.

To be sure we have enough notice, what date do you need to leave Oakland for your orthopedic consult in Portland?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F028,4,Question 3,Oakland to portland,"Thanks. To be sure we can plan, what date (or approximate date) would you like to depart from Oakland for your appointment in Portland?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F028,5,Question 4,13 days,"Thank you. A few quick questions to be sure a small volunteer-pilot airplane would work for you:

1. Will the traveler be able to step up into a small plane, move into the seat on their own, and sit upright with a seatbelt for the flight?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F028,6,Question 5,Ok mobility,"Thanks. A couple more quick checks:

1. Will you (or the traveler) need any medical monitoring or a nurse during the flight?  
2. How many people—including the patient—would need seats on the flight?  
3. Would paying for commercial travel be a financial hardship or otherwise difficult for you right now?

Let me know, and we can wrap up the eligibility check.",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F028,7,Question 6,No monitoring,"Thanks, that helps.

Including you, how many people would need seats on this flight from Oakland to Portland?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F028,8,Question 7,Alone,"Thanks. One last question before I can wrap up the check:

Would paying for a regular commercial flight between Oakland and Portland create a financial hardship or other serious difficulty for you right now?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F028,9,Question 8,Insurance covers transport,"Thank you for the information.

Angel Flight West is designed for people who cannot otherwise afford or access the travel they need for medical care. Because you’ve indicated that your insurance will cover the cost of transportation, it appears this trip does not meet our financial-need requirement, so we’re unable to arrange a volunteer flight for you.

I know travel for care can still be stressful. If you’d like to look for other charitable flight organizations, you can visit the Air Care Alliance website (aircarealliance.org) for a nationwide directory.

If your situation changes and paying for travel would become a hardship, please feel free to reach out again. I wish you the very best with your upcoming orthopedic consult.",Ineligible,Ineligible,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F074,1,Opening,Wrong chat sorry,"No problem at all! If you ever do need help exploring a possible Angel Flight West trip, just let me know. Otherwise, have a great day!",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F074,2,Question 1,Wrong app,No worries. Feel free to close the chat or let me know if there’s anything else you need.,Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F074,3,Question 2,not sure if dv applies,"I’m sorry you’re dealing with something uncertain. To see if Angel Flight West might help, could you share the main reason you need to travel?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F074,4,Question 3,Idk where,"Just to make sure I understand: Is the trip you’re thinking about mainly for medical care (for yourself or someone else), for help leaving a domestic-violence situation, or for something different?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F074,5,Question 4,no appointment date yet,"No worries—let’s start with the basics. What is the main purpose of the trip you’re considering?  
• Travel for medical care or treatment  
• Travel to escape an unsafe domestic-violence situation  
• Something else  

Just let me know which one fits best, and we’ll go from there.",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F074,6,Question 5,mobility depends that day,"Thanks for letting me know about your mobility—we can circle back to that.  
First, so I can see if this type of trip fits Angel Flight West, what is the main reason you would be traveling?

• Traveling for medical care or treatment  
• Traveling to leave an unsafe domestic-violence situation  
• Something else (please describe briefly)",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F074,7,Question 6,not sure about inflight care,"I understand this can feel complicated. To see if Angel Flight West is the right fit, could you please tell me— in a few words—why you would need the flight?

1. To get medical care or treatment  
2. To leave an unsafe domestic-violence situation  
3. Something else (please describe)

Let me know which one sounds closest.",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F074,8,Question 7,companions not decided,"To see whether we might be able to help, could you tell me the city and state you would depart from and the city and state you need to reach?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F074,9,Question 8,prefer not say income yet,"I’m still missing a few key details—especially the main reason for travel and your starting/ending cities—so I can’t yet tell if Angel Flight West is the right fit.  

Let’s have one of our coordinators reach out and walk through your situation with you.

Please share:
• Your name  
• The best email address  
• A phone number  

A coordinator will follow up within 1–2 business days.",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F061,1,Opening,Need a flight can you help,"I’d be happy to see if Angel Flight West could assist.  
What is the main reason you need to travel?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F061,2,Question 1,Dont want details now,"No worries—I just need to know one thing to see if we’re the right fit.  
Is your trip primarily for medical care (or supporting someone receiving care), or for a safety relocation situation?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F061,3,Question 2,Not sure if dv applies,"Got it. To be sure we’re on the right track, could you tell me which of these best describes your trip?

• Traveling for medical care or to support someone receiving care  
• Traveling to relocate for safety due to domestic violence  

Please let me know which one fits, or if it’s something different.",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F061,4,Question 3,Not sure destination,"To see if Angel Flight West could help, I do need to know the purpose of the trip.  

Is it mainly for:  
1. Traveling to receive medical care or to support someone getting care  
2. Relocating for safety because of domestic violence  
3. Something else (such as vacation, funeral, or general moving)

Which one fits best?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F061,5,Question 4,Wont know til checkup,"Just to be sure we understand your situation:  
Are you looking for help getting to a medical appointment or checkup—for yourself or to support someone else?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F061,6,Question 5,Might need help boarding,"I understand. To find out if Angel Flight West is the right option, could you please tell me:  
Will this trip be to reach a medical appointment or treatment (for you or someone you’re supporting), or is it for another reason?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F061,7,Question 6,Feel ok today,"To see whether Angel Flight West could be an option for you, I’ll need just a couple of basics.

First, which city and state would you be starting your trip from?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F061,8,Question 7,Maybe alone maybe not,"It’s hard for me to confirm whether Angel Flight West is the right fit without knowing the trip’s purpose and where you’ll be traveling from and to. Because those details are still unclear, I’ll have one of our coordinators reach out to help you sort it out.

So we can connect you with the right person, please share:

• Your name  
• A phone number  
• An email address  

A coordinator will follow up within 1–2 business days to discuss your situation and walk you through the next steps.",Insufficient Information,Insufficient Information,
